Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Balance,Wowhead,ST,,,,
Balance,Wowhead,AOE,,,,
Balance,Icy Veins,ST,,,,
Balance,Icy Veins,AOE,,,,
Balance,Method.gg,ST,,,,
Balance,Method.gg,AOE,,,,
Feral,Wowhead,ST,,,,
Feral,Wowhead,AOE,,,,
Feral,Icy Veins,ST,,,,
Feral,Icy Veins,AOE,,,,
Feral,Method.gg,ST,,,,
Feral,Method.gg,AOE,,,,
Guardian,Wowhead,ST,,,,
Guardian,Wowhead,AOE,,,,
Guardian,Icy Veins,ST,,,,
Guardian,Icy Veins,AOE,,,,
Guardian,Method.gg,ST,,,,
Guardian,Method.gg,AOE,,,,
Restoration,Wowhead,ST,,,,
Restoration,Wowhead,AOE,,,,
Restoration,Icy Veins,ST,,,,
Restoration,Icy Veins,AOE,,,,
Restoration,Method.gg,ST,,,,
Restoration,Method.gg,AOE,,,,
