Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Devastation,Wowhead,ST,,,,
Devastation,Wowhead,AOE,,,,
Devastation,Icy Veins,ST,,,,
Devastation,Icy Veins,AOE,,,,
Devastation,Method.gg,ST,,,,
Devastation,Method.gg,AOE,,,,
Preservation,Wowhead,ST,,,,
Preservation,Wowhead,AOE,,,,
Preservation,Icy Veins,ST,,,,
Preservation,Icy Veins,AOE,,,,
Preservation,Method.gg,ST,,,,
Preservation,Method.gg,AOE,,,,
Augmentation,Wowhead,ST,,,,
Augmentation,Wowhead,AOE,,,,
Augmentation,Icy Veins,ST,,,,
Augmentation,Icy Veins,AOE,,,,
Augmentation,Method.gg,ST,,,,
Augmentation,Method.gg,AOE,,,,
