Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Beast Mastery,Wowhead,ST,,,,
Beast Mastery,Wowhead,AOE,,,,
Beast Mastery,Icy Veins,ST,,,,
Beast Mastery,Icy Veins,AOE,,,,
Beast Mastery,Method.gg,ST,,,,
Beast Mastery,Method.gg,AOE,,,,
Marksmanship,Wowhead,ST,,,,
Marksmanship,Wowhead,AOE,,,,
Marksmanship,Icy Veins,ST,,,,
Marksmanship,Icy Veins,AOE,,,,
Marksmanship,Method.gg,ST,,,,
Marksmanship,Method.gg,AOE,,,,
Survival,Wowhead,ST,,,,
Survival,Wowhead,AOE,,,,
Survival,Icy Veins,ST,,,,
Survival,Icy Veins,AOE,,,,
Survival,Method.gg,ST,,,,
Survival,Method.gg,AOE,,,,
