Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Holy,Wowhead,ST,,,,
Holy,Wowhead,AOE,,,,
Holy,Icy Veins,ST,,,,
Holy,Icy Veins,AOE,,,,
Holy,Method.gg,ST,,,,
Holy,Method.gg,AOE,,,,
Protection,Wowhead,ST,,,,
Protection,Wowhead,AOE,,,,
Protection,Icy Veins,ST,,,,
Protection,Icy Veins,AOE,,,,
Protection,Method.gg,ST,,,,
Protection,Method.gg,AOE,,,,
Retribution,Wowhead,ST,,,,
Retribution,Wowhead,AOE,,,,
Retribution,Icy Veins,ST,,,,
Retribution,Icy Veins,AOE,,,,
Retribution,Method.gg,ST,,,,
Retribution,Method.gg,AOE,,,,
