Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Discipline,Wowhead,ST,,,,
Discipline,Wowhead,AOE,,,,
Discipline,Icy Veins,ST,,,,
Discipline,Icy Veins,AOE,,,,
Discipline,Method.gg,ST,,,,
Discipline,Method.gg,AOE,,,,
Holy,Wowhead,ST,,,,
Holy,Wowhead,AOE,,,,
Holy,Icy Veins,ST,,,,
Holy,Icy Veins,AOE,,,,
Holy,Method.gg,ST,,,,
Holy,Method.gg,AOE,,,,
Shadow,Wowhead,ST,,,,
Shadow,Wowhead,AOE,,,,
Shadow,Icy Veins,ST,,,,
Shadow,Icy Veins,AOE,,,,
Shadow,Method.gg,ST,,,,
Shadow,Method.gg,AOE,,,,
