Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Assassination,Wowhead,ST,,,,
Assassination,Wowhead,AOE,,,,
Assassination,Icy Veins,ST,,,,
Assassination,Icy Veins,AOE,,,,
Assassination,Method.gg,ST,,,,
Assassination,Method.gg,AOE,,,,
Outlaw,Wowhead,ST,,,,
Outlaw,Wowhead,AOE,,,,
Outlaw,Icy Veins,ST,,,,
Outlaw,Icy Veins,AOE,,,,
Outlaw,Method.gg,ST,,,,
Outlaw,Method.gg,AOE,,,,
Subtlety,Wowhead,ST,,,,
Subtlety,Wowhead,AOE,,,,
Subtlety,Icy Veins,ST,,,,
Subtlety,Icy Veins,AOE,,,,
Subtlety,Method.gg,ST,,,,
Subtlety,Method.gg,AOE,,,,
