Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Elemental,Wowhead,ST,,,,
Elemental,Wowhead,AOE,,,,
Elemental,Icy Veins,ST,,,,
Elemental,Icy Veins,AOE,,,,
Elemental,Method.gg,ST,,,,
Elemental,Method.gg,AOE,,,,
Enhancement,Wowhead,ST,,,,
Enhancement,Wowhead,AOE,,,,
Enhancement,Icy Veins,ST,,,,
Enhancement,Icy Veins,AOE,,,,
Enhancement,Method.gg,ST,,,,
Enhancement,Method.gg,AOE,,,,
Restoration,Wowhead,ST,,,,
Restoration,Wowhead,AOE,,,,
Restoration,Icy Veins,ST,,,,
Restoration,Icy Veins,AOE,,,,
Restoration,Method.gg,ST,,,,
Restoration,Method.gg,AOE,,,,
