Spec,Source,Type,Kimi (This LLM),Claude Opus,Gemini 3 Pro,Notes
Affliction,Wowhead,ST,,,,
Affliction,Wowhead,AOE,,,,
Affliction,Icy Veins,ST,,,,
Affliction,Icy Veins,AOE,,,,
Affliction,Method.gg,ST,,,,
Affliction,Method.gg,AOE,,,,
Demonology,Wowhead,ST,,,,
Demonology,Wowhead,AOE,,,,
Demonology,Icy Veins,ST,,,,
Demonology,Icy Veins,AOE,,,,
Demonology,Method.gg,ST,,,,
Demonology,Method.gg,AOE,,,,
Destruction,Wowhead,ST,,,,
Destruction,Wowhead,AOE,,,,
Destruction,Icy Veins,ST,,,,
Destruction,Icy Veins,AOE,,,,
Destruction,Method.gg,ST,,,,
Destruction,Method.gg,AOE,,,,
